Opcode: 0xD8 | A: 0x00 | X: 0x00 | Y: 0x00 | PC: 0xF000 | SP: 0xFD | Status: 0x34
Opcode: 0x78 | A: 0x00 | X: 0x00 | Y: 0x00 | PC: 0xF001 | SP: 0xFD | Status: 0x34
Opcode: 0xA2 | A: 0x00 | X: 0x00 | Y: 0x00 | PC: 0xF002 | SP: 0xFD | Status: 0x34
Opcode: 0x9A | A: 0x00 | X: 0xFF | Y: 0x00 | PC: 0xF004 | SP: 0xFD | Status: 0xB4
Opcode: 0xE8 | A: 0x00 | X: 0xFF | Y: 0x00 | PC: 0xF005 | SP: 0xFF | Status: 0xB4
Opcode: 0x8A | A: 0x00 | X: 0x00 | Y: 0x00 | PC: 0xF006 | SP: 0xFF | Status: 0x36
Opcode: 0x95 | A: 0x00 | X: 0x00 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x36
Opcode: 0xE8 | A: 0x00 | X: 0x00 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x36
Opcode: 0xD0 | A: 0x00 | X: 0x01 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x01 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x01 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x02 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x02 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x02 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x03 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x03 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x03 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x04 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x04 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x04 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x05 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x05 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x05 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x06 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x06 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x06 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x07 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
